100;chocolate blanco,almendras,caramelo;dulce de leche
101;fresas,crema batida,melocotones;frutas del bosque
102;oreo,galleta de chocolate,pasta de avellanas;cookies and cream
103;banana,nueces,caramelo;banana con nueces
104;vainilla,almendras,cerezas;tarta de cereza
105;caramelo salado,pretzel,cacahuetes;caramelo salado con pretzel
106;cafe,chocolate oscuro,cookies;mocha
107;kiwi,pasas,pistachos;frutas tropicales
108;naranja,chocolate blanco,menta;naranja con menta
109;manzana,canela,avena;pastel de manzana
